"ID","Address","DateOfSale","SalePrice","IsAStudio","BedCount","BathCount","Size","LotSize","BuiltInYear","M1","M2"
15065946,"44 Macondray Ln APT 2E, San Francisco, CA","11/30/15",1290000.0,0.0,2.0,2.0,1165.0,"",1980.0,1.381636515075274,-0.8579278836042261
15066001,"1070 Green St APT 201, San Francisco, CA","11/18/15",2900000.0,0.0,2.0,2.0,1465.0,"",1963.0,3.152674969134468,-0.8257414005969186
15066036,"1070 Green St APT 1402, San Francisco, CA","12/31/15",2600000.0,0.0,3.0,2.5,2017.0,"",1963.0,2.6525678333448472,-0.9595632051193486
15066085,"1907 Leavenworth St APT 8, San Francisco, CA","11/12/15",908000.0,0.0,2.0,1.0,956.0,"",1907.0,1.6640188197575279,0.665239691095876
15066201,"1101 Green St # 303, San Francisco, CA","11/16/15",1210000.0,0.0,2.0,1.0,1003.0,"",1930.0,2.151569668649319,0.556313501899701
15066281,"1807 Jones St, San Francisco, CA","12/15/15",1700000.0,0.0,2.0,2.0,1467.0,3023.0,1922.0,3.1790206520195925,0.7400242964936383
15066344,"999 Green St APT 905, San Francisco, CA","12/10/15",1280000.0,0.0,1.0,1.0,986.0,"",1964.0,2.532631478057938,0.957236684465528
15066608,"455 Vallejo St APT 111, San Francisco, CA","12/16/15",875000.0,0.0,1.0,1.0,825.0,"",1973.0,1.5742637436896332,0.5983171284334472
15066839,"1163-1165 Vallejo St, San Francisco, CA","12/1/15",300000.0,0.0,"",2.0,2344.0,1376.0,1913.0,0.43844380867587956,-0.07704127549413631
15066959,"1300 Pacific Ave, San Francisco, CA","1/14/16",425000.0,1.0,"",2.0,989.0,"",1910.0,0.7567248999217435,0.5610583525729109
15067302,"948 Jackson St, San Francisco, CA","11/13/15",1950000.0,0.0,"",4.0,4362.0,1459.0,1908.0,2.18063513044442,-0.7634511482621336
15067583,"946 Stockton St APT 6B, San Francisco, CA","12/18/15",775000.0,0.0,"",2.0,710.0,"",1970.0,1.270938791528831,0.27984204265504764
15067604,"946 Stockton St APT 9E, San Francisco, CA","12/2/15",705000.0,0.0,2.0,2.0,744.0,"",1970.0,0.8060640676233777,-0.7132934251819072
15067755,"1250 Clay St APT 306, San Francisco, CA","1/10/16",695000.0,0.0,1.0,1.0,541.0,"",1950.0,1.3515448973494608,0.8893378340991678
15067890,"1250 Jones St APT 503, San Francisco, CA","12/4/15",1410000.0,0.0,1.0,1.0,1250.0,"",1929.0,2.1458061336676013,0.04369664350014335
15067896,"1250 Jones St APT 802, San Francisco, CA","12/15/15",1680000.0,0.0,1.0,1.0,1115.0,"",1929.0,2.3766320591840797,-0.17067612001895283
15068039,"1170 Sacramento St APT 9B, San Francisco, CA","12/3/15",3800000.0,0.0,2.0,2.0,1961.0,"",1963.0,4.805311325997582,-0.47088877579074606
15068514,"1177 California St APT 702, San Francisco, CA","12/18/15",665000.0,0.0,1.0,1.0,511.0,"",1978.0,1.1798654034737541,0.5484673788684333
15068551,"1177 California St APT 501, San Francisco, CA","12/15/15",900000.0,0.0,1.0,1.0,884.0,"",1978.0,1.3105352989948937,-0.0876993355669029
15068580,"1177 California St APT 423, San Francisco, CA","12/29/15",738000.0,1.0,"",1.0,706.0,"",1978.0,1.1575042542650626,0.13686789773729702
15068592,"1177 California St APT 304, San Francisco, CA","12/1/15",790000.0,0.0,1.0,1.0,645.0,"",1977.0,0.8048439423447206,-0.9624203991272897
15068767,"767-771 Pine St, San Francisco, CA","12/31/15",2490000.0,0.0,"",4.0,4605.0,1376.0,1909.0,4.027912387718934,0.23527099415175412
15068857,"1001 Pine St APT 608, San Francisco, CA","12/7/15",535000.0,1.0,"",1.0,450.0,"",1964.0,0.8624712116564955,0.22419144544484282
15068874,"1001 Pine St APT 801, San Francisco, CA","12/24/15",650000.0,0.0,"",1.0,650.0,"",1963.0,1.051007097968592,0.23386799374951384
15069276,"795 Sutter St # 303, San Francisco, CA","11/15/15",1200000.0,0.0,3.0,2.0,1753.0,"",1913.0,2.332497694217549,0.8874961570292483
15069477,"631 Ofarrell St APT 816, San Francisco, CA","12/18/15",485000.0,1.0,"",1.0,480.0,"",1930.0,0.8156828450651894,0.3636405982069668
15069628,"47-49 Casa Way, San Francisco, CA","11/25/15",3800000.0,0.0,3.0,"",3905.0,2748.0,1939.0,5.166130022180386,-0.280984198852428
15069883,"59 Rico Way, San Francisco, CA","12/21/15",2550000.0,0.0,3.0,1.5,1675.0,2613.0,1925.0,3.6644314821883204,-0.1259360924013171
15070227,"134 Alhambra St, San Francisco, CA","1/18/16",3080000.0,0.0,3.0,3.0,2599.0,3005.0,1925.0,5.228704083455976,0.3952623918545297
15070235,"180 Alhambra St, San Francisco, CA","12/7/15",3330000.0,0.0,"",2.0,2864.0,2286.0,1925.0,3.5305508205254688,-0.8795490567414603
15070255,"146 Avila St, San Francisco, CA","12/23/15",3020000.0,0.0,3.0,3.0,2100.0,2495.0,1924.0,5.033635480645916,0.33353343089133536
15070544,"1051-1053 Francisco St, San Francisco, CA","12/1/15",9710000.0,0.0,5.0,6.0,4650.0,4726.0,1953.0,16.22189371399233,0.3412757392363188
15070728,"3315 Pierce St, San Francisco, CA","1/6/16",2500000.0,0.0,3.0,3.5,2255.0,2500.0,1925.0,3.025956402684602,-0.5792348778523182
15070807,"1763-1765 Chestnut St, San Francisco, CA","12/1/15",1380000.0,0.0,"",3.0,3260.0,3000.0,1920.0,1.5579182907636975,-0.7421474046902934
15071012,"2701 Van Ness Ave APT 207, San Francisco, CA","11/30/15",885000.0,0.0,"",1.0,885.0,"",1929.0,1.1641540905679026,-0.36914329815163227
15071070,"2701 Van Ness Ave APT 702, San Francisco, CA","12/2/15",718000.0,0.0,"",1.0,793.0,"",1929.0,0.979144333536803,-0.2725784581147548
15071199,"2374-2376 Greenwich St, San Francisco, CA","11/23/15",6000000.0,0.0,4.0,5.0,4178.0,2495.0,1938.0,9.421180622507277,0.14039354083575928
15071224,"3126 Scott St APT 2, San Francisco, CA","12/7/15",1350000.0,0.0,2.0,2.0,1367.0,"",1970.0,1.9421120431741328,-0.1227969730753593
15071286,"3038 Pierce St, San Francisco, CA","12/7/15",1150000.0,0.0,2.0,2.0,1150.0,"",1906.0,2.28662991376811,0.9767476761184524
15071577,"1374 Union St, San Francisco, CA","12/2/15",3000000.0,0.0,3.0,3.5,3105.0,"",1907.0,3.306134432244084,-0.7959103785039439
15072128,"1438 Green St UNIT 5A, San Francisco, CA","12/18/15",1280000.0,0.0,2.0,2.0,1206.0,"",1998.0,1.5473622478013886,-0.5822464878103306
15072153,"1353 Green St, San Francisco, CA","11/24/15",2300000.0,0.0,2.0,2.0,1764.0,"",1941.0,2.6710118911354916,-0.6773809642300075
15072263,"1795 Green St, San Francisco, CA","11/20/15",2500000.0,0.0,3.0,2.0,1647.0,"",1908.0,4.132770813663496,0.30621665093079686
15072504,"2660 Scott St, San Francisco, CA","12/8/15",13100000.0,0.0,7.0,8.0,9190.0,5623.0,1908.0,16.418119993271144,-0.4934167949204358
15072510,"2535 Vallejo St, San Francisco, CA","11/23/15",5600000.0,0.0,"",4.0,4065.0,3781.0,1908.0,8.211340327995314,-0.06737845428738742
15072951,"1770 Pacific Ave APT 103, San Francisco, CA","11/25/15",1760000.0,0.0,2.0,2.0,1500.0,"",1902.0,2.190189041922821,-0.5111488159967945
15072997,"1896 Pacific Ave APT 802, San Francisco, CA","12/15/15",250000.0,0.0,2.0,2.5,2272.0,"",1924.0,0.28974239591137996,-0.6820608327089606
15073090,"2002 Pacific Ave APT 4, San Francisco, CA","1/20/16",4200000.0,0.0,3.0,3.5,3291.0,"",1961.0,4.663575592890082,-0.7792497176713897
15073657,"1895 Pacific Ave APT 506, San Francisco, CA","11/20/15",975000.0,0.0,1.0,1.0,1165.0,"",1931.0,1.6149213497286417,0.31265917893054684
15074158,"1945 Washington St APT 411, San Francisco, CA","12/16/15",665000.0,0.0,1.0,1.0,653.0,"",1987.0,0.7568916626468282,-0.7236340973027724
15074306,"1950 Gough St APT 306, San Francisco, CA","12/21/15",1150000.0,0.0,1.0,1.0,1000.0,"",1926.0,1.3760697159320614,-0.606835276639893
15074558,"2684-2686 Sacramento St, San Francisco, CA","12/8/15",2710000.0,0.0,"","",2840.0,2674.0,1900.0,3.7092452124912123,-0.2625496586780718
15074647,"2619-2621 Sacramento St, San Francisco, CA","12/3/15",2900000.0,0.0,7.0,5.0,2930.0,2038.0,1900.0,5.280880366559011,0.6419864596958702
15075139,"2215 California St, San Francisco, CA","12/11/15",5050000.0,0.0,5.0,6.0,3485.0,3454.0,1900.0,5.540361442754959,-0.8057974484138775
15075278,"2440 Bush St # C, San Francisco, CA","11/16/15",2000000.0,0.0,3.0,2.5,1810.0,"",1985.0,3.675889814997608,0.6758898149976078
15075410,"2015 Pine St # A, San Francisco, CA","12/1/15",795000.0,0.0,1.0,1.0,708.0,"",1900.0,0.8713982342757007,-0.8078031842120739
15075714,"1880 Steiner St APT 101, San Francisco, CA","12/22/15",1350000.0,0.0,2.0,3.0,1332.0,"",1999.0,2.6682202777680843,0.9529189300267915
15076120,"2075 Sutter St APT 507, San Francisco, CA","12/4/15",1310000.0,0.0,2.0,2.0,1084.0,"",1992.0,1.9239330741584892,-0.06269759670459685
15076156,"1533 Sutter St, San Francisco, CA","11/12/15",5530000.0,0.0,6.0,7.5,7375.0,2748.0,1890.0,10.931488817692564,0.9535221763806743
15076294,"1450 Post St APT 1006, San Francisco, CA","11/16/15",170000.0,0.0,"","",545.0,"",1992.0,0.27282373835665785,0.20969103949009193
15076310,"1450 Post St APT 1108, San Francisco, CA","11/24/15",399000.0,0.0,1.0,1.0,595.0,"",1992.0,0.6939661681799224,0.47852715879660335
15076450,"1483 Sutter St APT 1102, San Francisco, CA","11/19/15",690000.0,0.0,1.0,1.0,650.0,"",1993.0,0.7170395766554812,-0.9216244154913587
15076699,"1 Daniel Burnham Ct APT 1202, San Francisco, CA","12/1/15",795000.0,0.0,1.0,1.0,772.0,"",1988.0,1.0198315352482457,-0.43438607484718084
15076711,"1 Daniel Burnham Ct APT 1404, San Francisco, CA","12/11/15",975000.0,0.0,2.0,2.0,1009.0,"",1988.0,1.0921916471828395,-0.7596068775736622
15076978,"66 Cleary Ct APT 1408, San Francisco, CA","12/21/15",895000.0,0.0,2.0,2.0,1106.0,"",1963.0,1.1600454767823198,-0.40771960495571014
15077111,"1200 Gough St APT 22B, San Francisco, CA","1/29/16",650000.0,1.0,"",1.0,550.0,"",1966.0,0.7271730173202586,-0.7625445620915119
15077403,"1310 Scott St # 40, San Francisco, CA","12/23/15",958000.0,0.0,3.0,2.0,1270.0,"",1986.0,1.262627885859429,-0.36403364121204795
15077572,"601 Van Ness Ave APT 48, San Francisco, CA","11/30/15",830000.0,0.0,2.0,2.0,1090.0,"",1982.0,1.173838285447176,-0.17147401097066006
15077602,"601 Van Ness Ave APT 78, San Francisco, CA","12/18/15",810000.0,0.0,2.0,2.0,952.0,"",1982.0,0.8619594720425154,-0.8717050073024313
15077705,"601 Van Ness Ave APT 605, San Francisco, CA","12/1/15",825000.0,0.0,2.0,2.0,1072.0,"",1982.0,1.3962894984802663,0.3849442387400397
15077725,"601 Van Ness Ave APT 201, San Francisco, CA","1/5/16",555000.0,0.0,1.0,1.0,750.0,"",1982.0,0.8694638070846493,0.1332029084131503
15077902,"601 Van Ness Ave APT 944, San Francisco, CA","12/10/15",600000.0,0.0,1.0,1.0,894.0,"",1982.0,0.7592336945636672,-0.46922101812110917
15077929,"601 Van Ness Ave APT 405, San Francisco, CA","12/4/15",825000.0,0.0,2.0,2.0,881.0,"",1982.0,1.2566796441100272,0.04649610693339934
15078419,"301 Gough St APT 3, San Francisco, CA","12/4/15",810000.0,0.0,1.0,1.0,626.0,"",1999.0,0.8860918137143378,-0.8121189784831166
15078423,"301 Gough St # G, San Francisco, CA","11/10/15",1150000.0,0.0,"","",936.0,"","",1.8123384698896061,0.15189299111235854
15078434,"412-414 Linden St, San Francisco, CA","12/16/15",835000.0,0.0,4.0,2.0,2200.0,1297.0,1909.0,1.6109623249761387,0.8585923951524281
15078460,"622-626 Buchanan St, San Francisco, CA","11/12/15",1250000.0,0.0,"","",2785.0,1637.0,1900.0,1.6482111905641545,-0.3628620950973527
15078536,"640 Steiner St, San Francisco, CA","12/15/15",1500000.0,0.0,2.0,2.0,1593.0,"",1895.0,2.5011155699455223,0.3348207599273634
15078815,"545-547 Oak St, San Francisco, CA","12/23/15",1770000.0,0.0,5.0,3.0,2610.0,3297.0,1900.0,2.0032822164557738,-0.7364042751912157
15078866,"753-755 Oak St, San Francisco, CA","11/10/15",375000.0,0.0,"",2.0,2430.0,3781.0,1890.0,0.6436227015444621,0.4326544082371311
15078940,"706 Haight St, San Francisco, CA","11/10/15",1680000.0,0.0,2.0,2.0,1463.0,"",1997.0,2.166202236151298,-0.4211878141055978
15078953,"789-793 Page St, San Francisco, CA","11/25/15",1700000.0,0.0,6.0,3.0,3825.0,2247.0,1911.0,2.0114253154120987,-0.6336172759857663
15079164,"544 Waller St # 1, San Francisco, CA","12/15/15",1900000.0,0.0,3.0,3.0,860.0,"",1983.0,3.014374576139158,0.1730258696201663
15079269,"591-595 Waller St, San Francisco, CA","12/2/15",1230000.0,0.0,"",7.0,7240.0,2696.0,1900.0,1.254732281810617,-0.9597849076250129
15079279,"101-105 Steiner St, San Francisco, CA","12/9/15",2700000.0,0.0,"",3.0,6726.0,2735.0,1900.0,4.9381380788868805,0.6578800584347262
15079314,"457-461 Waller St, San Francisco, CA","12/22/15",1550000.0,1.0,"","",3750.0,3000.0,1900.0,1.557277988098448,-0.9906090476149059
15079585,"3835 Scott St APT 105, San Francisco, CA","12/22/15",1120000.0,0.0,1.0,1.0,1118.0,"",1928.0,1.879154521211778,0.3556330735924602
15079836,"2146 Bay St, San Francisco, CA","11/25/15",7100000.0,0.0,2.0,4.5,1500.0,3436.0,1925.0,9.017056609664369,-0.4599840536156703
15080238,"2646-2648 Greenwich St, San Francisco, CA","12/4/15",5150000.0,0.0,"",2.0,2692.0,3436.0,1911.0,8.936249213931363,0.47038804424518976
15080315,"2953 Broderick St, San Francisco, CA","12/18/15",3000000.0,0.0,2.0,2.5,1876.0,1637.0,1923.0,5.886565635352314,0.9243770902348765
15080609,"2769 Union St, San Francisco, CA","12/1/15",3130000.0,0.0,3.0,2.0,2800.0,"",1984.0,3.908597339217468,-0.5024937129600839
15080826,"2780 Broadway St, San Francisco, CA","11/25/15",17100000.0,0.0,5.0,6.0,6800.0,3460.0,1962.0,26.95229041854501,0.1523146688356738
15080894,"2950 Pacific Ave, San Francisco, CA","11/25/15",16000000.0,0.0,7.0,6.5,11500.0,12196.8,1907.0,25.472670900349424,0.18408386254367803
15081067,"46 Presidio Ave, San Francisco, CA","11/25/15",3900000.0,0.0,4.0,3.5,2750.0,2705.0,1916.0,6.131782432584407,0.14450381158174674
15081147,"2955 Pacific Ave, San Francisco, CA","11/16/15",3650000.0,0.0,3.0,2.0,2160.0,"",1995.0,4.464247959138256,-0.5538367347187634
15081160,"2820 Jackson St, San Francisco, CA","12/14/15",4000000.0,0.0,5.0,3.5,3212.0,3000.0,1900.0,7.81099604606794,0.90549802303397
15081273,"2801 Jackson St # 12, San Francisco, CA","12/24/15",1420000.0,0.0,2.0,1.0,1330.0,"",1906.0,2.0549180376370306,-0.10574924276474529
15081334,"2947 Jackson St, San Francisco, CA","11/30/15",1870000.0,0.0,3.0,2.0,2100.0,"",1939.0,3.4527842175210095,0.6928173449422557
15081395,"3100 Washington St #6, San Francisco, CA","12/22/15",825000.0,0.0,1.0,1.0,808.0,"",1964.0,1.402070402136941,0.3989585506350086
15081736,"3515 Washington St, San Francisco, CA","12/2/15",3800000.0,0.0,2.0,3.0,2760.0,4464.0,1941.0,4.930260413249507,-0.4051260982897327
15081960,"2921 Washington St APT 5, San Francisco, CA","11/23/15",1000000.0,0.0,1.0,1.0,1070.0,"",1916.0,1.813797819702477,0.6275956394049544
15082108,"3016 Sacramento St, San Francisco, CA","12/22/15",1850000.0,0.0,2.0,1.5,1408.0,"",1890.0,2.5835356205669213,-0.2069885183060307
15082200,"333 Presidio Ave APT 4, San Francisco, CA","12/9/15",738000.0,0.0,1.0,1.0,770.0,"",1907.0,1.3882541594680373,0.7622063942223232
15082795,"25-29 Parker Ave #27, San Francisco, CA","11/19/15",1070000.0,0.0,2.0,2.0,1092.0,"",1909.0,1.6919619737203688,0.1625457452717174
15083161,"1825 Scott St, San Francisco, CA","11/23/15",32700000.000000004,0.0,"",1.0,1100.0,1694.0,1900.0,61.53274633265369,0.7634707237097056
15084143,"270 Ewing Ter, San Francisco, CA","11/20/15",1570000.0,0.0,2.0,1.0,1250.0,2178.0,1940.0,2.6572745964220927,0.38506318015553176
15084385,"1213 Scott St, San Francisco, CA","11/25/15",1500000.0,0.0,3.0,1.5,1439.0,"",1900.0,2.5878814197294604,0.45050855963928105
15084557,"26 Rossi Ave, San Francisco, CA","12/31/15",259000.0,0.0,7.0,3.0,4361.0,3428.0,1941.0,0.38884301491901585,0.002648763853404512
15084949,"1912 Golden Gate Ave, San Francisco, CA","11/16/15",1770000.0,0.0,3.0,2.0,1154.0,3436.0,1900.0,3.462268033460106,0.9121672694464478
15084954,"1954 Golden Gate Ave, San Francisco, CA","11/24/15",1100000.0,0.0,2.0,1.0,1515.0,"",1895.0,1.8083892191526012,0.2879803984592748
15085630,"650-652 Broderick St, San Francisco, CA","12/30/15",1800000.0,0.0,8.0,2.0,3350.0,2809.0,1907.0,2.5629390874047235,-0.15228990288364064
15085696,"532-534 Lyon St, San Francisco, CA","11/25/15",4500000.0,0.0,"",2.0,2696.0,3044.0,1904.0,7.22876946357566,0.2127864282558487
15085726,"1667C-1667B Fulton St, San Francisco, CA","1/21/16",822000.0,0.0,"",2.0,1750.0,1437.0,1908.0,0.8377768090102721,-0.961613603381333
15086718,"1260 Haight St APT 5, San Francisco, CA","12/3/15",1050000.0,0.0,2.0,1.0,1082.0,3438.0,1928.0,1.3666535575082768,-0.39685036665090134
15086964,"1576 Waller St, San Francisco, CA","1/8/16",1500000.0,0.0,3.0,1.0,1668.0,"",1900.0,2.490260306239027,0.3203470749853701
15087483,"721 Frederick St, San Francisco, CA","12/24/15",725000.0,0.0,1.0,1.0,590.0,"",1990.0,0.9353062652275719,-0.41984478557911187
15087641,"805-807 Clayton St, San Francisco, CA","12/15/15",2550000.0,0.0,"","",2950.0,2495.0,1910.0,4.125939343947046,0.23603085799768309
15087654,"814 Cole St, San Francisco, CA","12/17/15",1770000.0,0.0,5.0,2.0,3000.0,2687.0,1906.0,2.528920600674006,-0.14246259810846773
15087801,"978 Clayton St, San Francisco, CA","12/1/15",1800000.0,0.0,2.0,1.0,1585.0,"",1924.0,2.0438533156004106,-0.7290518715550995
15088159,"1043-1045 Clayton St, San Francisco, CA","12/22/15",1210000.0,0.0,"",4.0,5736.0,"",1974.0,1.5709216144067972,-0.40343534808793846
15088460,"4855-4857 17TH St, San Francisco, CA","12/31/15",850000.0,0.0,"",2.0,2310.0,3009.0,1926.0,1.334470174096075,0.13992982140252974
15088722,"520 El Camino Del Mar, San Francisco, CA","12/31/15",6100000.0,0.0,6.0,5.5,4840.0,6926.0,1926.0,9.704323843613857,0.18174552249634646
15088769,"80 Mclaren Ave, San Francisco, CA","11/25/15",11600000.0,0.0,4.0,5.0,6473.0,9628.0,1924.0,18.26217288665511,0.1486504976991576
15089097,"78 22nd Ave, San Francisco, CA","12/23/15",4300000.0,0.0,4.0,4.5,4017.0,3001.0,1907.0,7.108763525385675,0.30640163971426726
15089098,"22 22nd Ave, San Francisco, CA","11/17/15",4970000.0,0.0,5.0,5.0,5610.0,13939.2,1926.0,8.210953251908393,0.30420654000337777
15090454,"286 27th Ave, San Francisco, CA","11/13/15",950000.0,0.0,2.0,1.0,1367.0,"",1924.0,1.3598475136622754,-0.1371631291320521
15090770,"2730-2732 Clement St, San Francisco, CA","12/4/15",1200000.0,0.0,4.0,2.0,3040.0,2538.0,1924.0,2.2758559150212756,0.793093191702126
15090783,"326 29th Ave, San Francisco, CA","11/25/15",1500000.0,0.0,3.0,1.0,1675.0,3049.0,1910.0,2.0513428050718447,-0.26487625990420693
15090866,"323-325 25TH Ave, San Francisco, CA","11/17/15",1440000.0,0.0,2.0,1.0,3130.0,2996.0,1923.0,2.0676454923825025,-0.12827014946874638
15091143,"262-264 17TH Ave, San Francisco, CA","11/19/15",1620000.0,0.0,2.0,1.0,3410.0,3000.0,1916.0,3.0649158351253893,0.7838467100313442
15091950,"333-337 20TH Ave, San Francisco, CA","11/18/15",1750000.0,0.0,4.0,"",2600.0,3000.0,1907.0,3.16083948083065,0.6123879780921715
15092065,"455 25th Ave APT 2, San Francisco, CA","1/21/16",1040000.0,0.0,3.0,2.0,1287.0,"",1996.0,1.772044126881981,0.40777716708073264
15092455,"3535 Clement St, San Francisco, CA","12/8/15",1830000.0,0.0,4.0,3.0,2500.0,3886.0,1919.0,2.013415203781511,-0.7995462253753978
15092620,"3945 Clement St, San Francisco, CA","12/10/15",1700000.0,0.0,3.0,2.5,2209.0,2500.0,1930.0,3.263120443365945,0.8389652274893471
15092835,"149 Seal Rock Dr, San Francisco, CA","11/24/15",700000.0,0.0,2.0,1.0,1275.0,2500.0,1941.0,1.199968909684378,0.42848259909822284
15093047,"554 46th Ave, San Francisco, CA","1/12/16",665000.0,0.0,2.0,1.0,830.0,644.0,1900.0,1.3292332593676313,0.997694013135733
15093075,"539 44th Ave, San Francisco, CA","12/17/15",998500.0,0.0,2.0,1.0,1290.0,3000.0,1922.0,1.1477241322010068,-0.7011033906840125
15093237,"586-588 42ND Ave, San Francisco, CA","12/24/15",740000.0,0.0,2.0,1.0,864.0,1438.0,1945.0,1.3824132824524786,0.7362521147364285
15093645,"505-507 32ND Ave, San Francisco, CA","12/18/15",1470000.0,0.0,"",4.0,2376.0,1437.0,1958.0,1.708864613974271,-0.6750141306472504
15093664,"591 29th Ave, San Francisco, CA","11/20/15",1750000.0,0.0,3.0,2.5,1800.0,1875.0,1936.0,2.8272292374967276,0.23111912856768835
15093745,"591 27th Ave, San Francisco, CA","12/31/15",897000.0,0.0,2.0,1.0,900.0,1760.0,1915.0,1.008066524615949,-0.752360034301117
15093965,"2920 Anza St, San Francisco, CA","12/23/15",310000.0,0.0,4.0,2.0,2102.0,2666.0,1920.0,0.5728825510898926,0.6960164586444688
15094244,"470 12th Ave, San Francisco, CA","12/10/15",1480000.0,0.0,2.0,1.5,1630.0,"",1931.0,2.6748320589130157,0.6146379174500214
15094520,"3701 Geary Blvd # 304, San Francisco, CA","12/15/15",785500.0,0.0,2.0,2.0,1214.0,8250.0,1986.0,1.2325286301817628,0.13820147722918663
15094548,"528 2nd Ave, San Francisco, CA","11/25/15",1450000.0,1.0,"","",2810.0,3049.0,1906.0,2.0404157809776993,-0.18563340554800067
15094694,"539 5th Ave, San Francisco, CA","12/9/15",1240000.0,0.0,"",1.0,925.0,3000.0,1907.0,1.325767074364371,-0.8616660090897239
15094710,"570-572 6TH Ave, San Francisco, CA","11/13/15",1700000.0,0.0,3.0,"",2750.0,3000.0,1906.0,2.8856289143457583,0.3948575462891273
15095208,"574 18th Ave, San Francisco, CA","12/3/15",1830000.0,0.0,3.0,1.5,2050.0,3000.0,1916.0,2.659983109300866,-0.09291463464386229
15095382,"559 21st Ave, San Francisco, CA","12/16/15",1250000.0,0.0,2.0,1.0,1400.0,3001.0,1918.0,2.1525694993379347,0.44411119894069584
15095541,"3321 Anza St, San Francisco, CA","12/31/15",2270000.0,0.0,8.0,6.0,4729.0,2430.0,1905.0,4.236687879857988,0.7327646518572584
15095745,"654 30th Ave, San Francisco, CA","11/25/15",1580000.0,0.0,3.0,1.5,1900.0,3049.0,1927.0,3.12132397790456,0.9510430100057716
15095966,"699 36th Ave APT 408, San Francisco, CA","12/15/15",925000.0,0.0,3.0,3.0,1639.0,1742.0,1997.0,1.7166180917131653,0.711606684785222
15096484,"716 Great Hwy # 1, San Francisco, CA","12/16/15",912000.0,0.0,3.0,2.0,1600.0,"",1990.0,0.9226832447767219,-0.9765718316299961
15096544,"783 La Playa St # 2, San Francisco, CA","12/14/15",535000.0,0.0,1.0,1.0,667.0,"",1991.0,0.7275882644959247,-0.2800438710432722
15096577,"739 48th Ave, San Francisco, CA","1/5/16",945000.0,0.0,"",2.0,1368.0,3000.0,1957.0,1.6348410814907346,0.45998112484811604
15096806,"744 44th Ave, San Francisco, CA","11/10/15",1230000.0,0.0,4.0,3.0,2380.0,4199.0,1926.0,1.441104503031572,-0.656740645477119
15097178,"760 35th Ave, San Francisco, CA","12/1/15",1810000.0,0.0,8.0,5.0,3905.0,3598.0,1965.0,2.753076257229474,0.042073212408258565
15097633,"623 23rd Ave, San Francisco, CA","12/1/15",955000.0,0.0,2.0,1.0,1085.0,2770.0,1920.0,1.0068927788639872,-0.8913240233214927
15097709,"668 23rd Ave, San Francisco, CA","11/25/15",1120000.0,0.0,"",1.0,1325.0,2996.0,1922.0,1.3439961078839684,-0.6000069502071999
15098770,"790 7th Ave APT 104, San Francisco, CA","12/22/15",600000.0,0.0,2.0,1.0,560.0,"",1981.0,0.6111130766763684,-0.9629564110787721
15099387,"735 22nd Ave, San Francisco, CA","12/14/15",5995.0,0.0,4.0,2.0,1800.0,2996.0,1921.0,0.010753217731627737,0.5873954067148413
